category,characteristic
Обложки для переплета картонные,Материал: картон
Обложки для переплета картонные,Количество в упаковке: 100
Обложки для переплета картонные,Цвет: обложки:черный
Обложки для переплета картонные,Материал: корешок+клей полимер+отрывные листы
Обложки для переплета картонные,Цвет: обложки:белый
Обложки для переплета картонные,Цвет: обложки:синий
Обложки для переплета картонные,Цвет: бордовый
Обложки для переплета картонные,Цвет: внешней
Обложки для переплета картонные,Цвет: черный
Обложки для переплета картонные,Цвет: корешка:бордовый
Обложки для переплета картонные,Цвет: корешка:черный
Объективы,Цвет: черный
Объективы,Страна: китай
Объективы,Материал: изготовления:пластик
Объективы,Цвет: салфеток:белый
Объективы,Цвет: товара:черный
Боксы для бумаг пластиковые,Материал: полистирол
Боксы для бумаг пластиковые,Цвет: черный
Боксы для бумаг пластиковые,Страна: австрия
Боксы для бумаг пластиковые,Материал: пластик
Боксы для бумаг пластиковые,Цвет: прозрачный
Боксы для бумаг пластиковые,Цвет: белый
Боксы для бумаг пластиковые,Ширина: 90
Бумага гофрированная (крепированная),Ширина: 50
Бумага гофрированная (крепированная),Ширина: 13
Бумага гофрированная (крепированная),Цвет: зеленый
Бумага гофрированная (крепированная),Цвет: красный
Бумага печатная специального назначения,Количество листов: 50
Бумага печатная специального назначения,Тип печати: водорастворимые чернила
Бумага печатная специального назначения,Количество листов: 10
Бумага печатная специального назначения,Цвет: белый
Бумага печатная специального назначения,Ширина: 1220
Бумага для плоттеров и копировальных работ,Длина: 50
Бумага для плоттеров и копировальных работ,Цвет: прозрачный
Бумага для плоттеров и копировальных работ,Ширина: 610
Бумага для плоттеров и копировальных работ,Цвет: бумаги:белый
Бумага для плоттеров и копировальных работ,Длина: 305
Бумага для плоттеров и копировальных работ,Ширина: 1118
Бумага для плоттеров и копировальных работ,Ширина: 1260
Веб-камеры,Цвет: черный
Веб-камеры,Тип матрицы: cmos
Веб-камеры,Разрешение: 720
Веб-камеры,Ширина: 69
Доски комбинированные магнитно-меловые,Цвет: черный
Доски комбинированные магнитно-меловые,Цвет: синий
Доски комбинированные магнитно-меловые,Материал рамы: дерево
Доски комбинированные магнитно-меловые,Цвет: доски:черный
Доски комбинированные магнитно-меловые,Материал рамы: металл
Доски комбинированные магнитно-меловые,Цвет: доски:зеленый
Доски комбинированные магнитно-меловые,Высота: 100
Доски комбинированные магнитно-меловые,Цвет: рабочей
Доски комбинированные магнитно-меловые,Цвет: доски:зеленая
Доски комбинированные магнитно-меловые,Материал рамы: стальная
Доски комбинированные магнитно-меловые,Цвет: зеленый/белый
Порошок стиральный,Объем: 9000
Порошок стиральный,Объем: 3000
Порошок стиральный,Объем: 350
Порошок стиральный,Объем: 15000
Порошок стиральный,Объем: 6000
Порошок стиральный,Объем: 20000
Порошок стиральный,Объем: 450
Порошок стиральный,Объем: 400
Порошок стиральный,Страна: россия
Доски информационные,Высота: 100
Доски информационные,Ширина: 80
Доски информационные,Цвет: черный
Доски информационные,Материал: пвх
Доски информационные,Цвет покрытия: чёрный
Доски информационные,Материал отделений: акрил
Доски информационные,Тип материала: таблички:непрозрачный
Доски информационные,Материал: пластик
Доски информационные,Цвет: доски:натуральная пробка
Доски информационные,Материал рамки: дерево
Доски информационные,Материал стенда: пвх4
Доски информационные,Материал стенда: пвх 3 мм
Устройства хранения данных дисковые автономные (внешние жесткие диски),Высота: 15
Устройства хранения данных дисковые автономные (внешние жесткие диски),Цвет: черный
Устройства хранения данных дисковые автономные (внешние жесткие диски),Ширина: 79
Устройства хранения данных дисковые автономные (внешние жесткие диски),Материал корпуса: пластик
Устройства хранения данных дисковые автономные (внешние жесткие диски),Длина: 111
Устройства хранения данных дисковые автономные (внешние жесткие диски),Цвет: серебристый
Устройства хранения данных дисковые автономные (внешние жесткие диски),Цвет: платиновый
Устройства хранения данных дисковые автономные (внешние жесткие диски),Цвет: серебристый/оранжевый
Нити,Ширина: 12
Нити,Материал: для декорирования корешка книжного блока
Нити,Цвет: белый
Нити,Материал: лавсан
Нити,Длина: 250
Нити,Цвет: изделия:белый
Нити,Цвет: синий
Нити,Цвет: изделия:прозрачный
Нити,Материал: металл/хлопок
Нити,Цвет: белый глянец
Нити,Материал: полипропилен
Нити,Материал: полиэфирное волокно
Оборудование для работы со штрих-кодами,Цвет: черный
Оборудование для работы со штрих-кодами,Цвет: чёрный
Оборудование для работы со штрих-кодами,Материал корпуса: пластик
Оборудование для работы со штрих-кодами,Страна: германия
Оборудование для работы со штрих-кодами,Процессор: qualcomm quad core 1
Оборудование для работы со штрих-кодами,Материал корпуса: ударопрочный пластик
Оборудование для работы со штрих-кодами,Ширина: 120
Штативы для фотографического оборудования,Цвет: черный
Штативы для фотографического оборудования,Материал: штатива:алюминий
Штативы для фотографического оборудования,Материал: штатива:алюминиевый сплав
Штативы для фотографического оборудования,Материал: штатива:металл
Штативы для фотографического оборудования,Высота: 60
Штативы для фотографического оборудования,Высота: 1530
Штативы для фотографического оборудования,Материал корпуса: алюминий
Штативы для фотографического оборудования,Высота: 20
Штативы для фотографического оборудования,Материал корпуса: (ножек):алюминий
Штативы для фотографического оборудования,Высота: 86
Телевизоры,Цвет: черный
Телевизоры,Цвет: серый
Телевизоры,Цвет: серебристый
Телевизоры,Цвет: титан
Телевизоры,Цвет: чёрный
Телевизоры,Цвет: темно-серый
Бумага дизайнерская,Длина: 305
Бумага дизайнерская,Ширина: 305
Бумага дизайнерская,Страна: италия
Бумага дизайнерская,Цвет: белый
Бумага дизайнерская,Страна: китай
Бумага дизайнерская,Количество листов: 20
Бумага дизайнерская,Цвет: синий
Бумага дизайнерская,Цвет: голубой
Бумага дизайнерская,Цвет: светло-коричневый
Бумага дизайнерская,Цвет: слоновая кость
Бумага дизайнерская,Цвет: чайная роза
Бумага дизайнерская,Цвет: серебро
Бумага для творчества,Длина: 305
Бумага для творчества,Ширина: 305
Бумага для творчества,Длина: 152
Бумага для творчества,Ширина: 152
Бумага для творчества,Количество в упаковке: 50
Гарнитуры,Сопротивление: 32
Гарнитуры,Цвет: черный
Гарнитуры,Импеданс: 32
Гарнитуры,Сопротивление: 1500
Гарнитуры,Цвет: телесный
Гарнитуры,Цвет: бежевый
Гарнитуры,Материал корпуса: пластик
Коммутатор,Материал корпуса: металл
Коммутатор,Ширина: 440
Коммутатор,Высота: 44
Коммутатор,Цвет: серый
Коммутатор,Ширина: 441
Коммутатор,Высота: 43
Диски оптические,Количество в упаковке: 100
Диски оптические,Количество в упаковке: 10
Диски оптические,Количество в упаковке: 50
Диски оптические,Количество в упаковке: 25
Диски оптические,Страна: россия
Диски оптические,Длина: 14
Диски оптические,Страна: тайвань
Диски оптические,Цвет: оранжевый
Прикладное программное обеспечение,Страна: россия
Прикладное программное обеспечение,Цвет: белый
Прикладное программное обеспечение,Страна: сша
Прикладное программное обеспечение,Страна: соединенные
Прикладное программное обеспечение,Страна: российская
Прикладное программное обеспечение,Объем: 32
Прикладное программное обеспечение,Материал корпуса: пластик
Аппараты телефонные,Цвет: черный
Аппараты телефонные,Цвет: белый
Аппараты телефонные,Страна: китай
Аппараты телефонные,Ширина: 16
Аппараты телефонные,Цвет: чёрный
Кабели сетевые с медными проводниками...,Материал проводника: медь
Кабели сетевые с медными проводниками...,Цвет: черный
Кабели сетевые с медными проводниками...,Длина: 305
Кабели сетевые с медными проводниками...,Длина: 100
Кабели сетевые с медными проводниками...,Цвет: внешней
Патч-корды,Цвет: серый
Патч-корды,Цвет: черный
Патч-корды,Материал: внешней
Патч-корды,Длина: 10
Патч-корды,Цвет: синий
Патч-корды,Материал: оболочки:пвх
Патч-корды,Материал проводника: медь
Патч-корды,Материал: жил:медь
Патч-корды,Материал: оболочки:lszh
Патч-корды,Цвет: внешней
Патч-корды,Цвет: кабеля:черный
Ноутбук,Разрешение: 1920x1080
Ноутбук,Тип матрицы: ips
Ноутбук,Цвет: черный
Ноутбук,Страна: китай
Ноутбук,Цвет: серебристый
Ноутбук,Цвет: серый
Ноутбук,Ширина: 32
Ноутбук,Разрешение: 1366x768
Ноутбук,Разрешение: 1920
Ноутбук,Цвет: синий
Ноутбук,Тип матрицы: tn
Ноутбук,Цвет: клавиатуры
Печати круглые самонаборные,Материал: изготовления штемпельной
Печати круглые самонаборные,Цвет: черный
Печати круглые самонаборные,Цвет: синий
Печати круглые самонаборные,Цвет: сменной
Печати круглые самонаборные,Цвет: жёлтый
Печати круглые самонаборные,Материал: латунь
Печати круглые самонаборные,Страна: россия
Печати круглые самонаборные,Цвет: красный
Печати круглые самонаборные,Цвет: зеленый
Печати круглые самонаборные,Материал корпуса: металл
Печати круглые самонаборные,Материал: клише:резина
Подушки штемпельные,Цвет: подушки
Подушки штемпельные,Цвет: штемпельной
Подушки штемпельные,Страна: австрия
Подушки штемпельные,Цвет: синий
Подушки штемпельные,Материал корпуса: пластик
Подушки штемпельные,Цвет: фиолетовый
Подушки штемпельные,Цвет: краски:синий
Подушки штемпельные,Длина: 100
Подушки штемпельные,Ширина: 40
Подушки штемпельные,Длина: 120
Подушки штемпельные,Ширина: 90
Флипчарты,Цвет: доски:белый
Флипчарты,Материал: каркаса:металл
Флипчарты,Цвет: белый
Флипчарты,Ширина: 70
Флипчарты,Материал: алюминий
Флипчарты,Длина: 100
Флипчарты,Длина: 70
Флипчарты,Высота: 100
Фильтры сетевые,Цвет: белый
Фильтры сетевые,Цвет: черный
Фильтры сетевые,Цвет: серый
Фильтры сетевые,Длина кабеля: 10
Фильтры сетевые,Материал корпуса: пластик
Фильтры сетевые,Ширина: 40
Фильтры сетевые,Высота: 52
Фильтры сетевые,Длина шнура: 180
Фильтры сетевые,Цвет: чёрный
Фильтры сетевые,Цвет: cерый
Компьютеры планшетные,Материал: металл
Компьютеры планшетные,Цвет: серый
Компьютеры планшетные,Цвет: черный
Компьютеры планшетные,Материал корпуса: металл
Компьютеры планшетные,Тип матрицы: ips
Комплектующие и запасные части для устройств ввода и вывода информации,Цвет: черный
Комплектующие и запасные части для устройств ввода и вывода информации,Материал: пластик
Комплектующие и запасные части для устройств ввода и вывода информации,Цвет: серый
Комплектующие и запасные части для устройств ввода и вывода информации,Ширина: 70
Комплектующие и запасные части для устройств ввода и вывода информации,Цвет: слоновая кость
Комплектующие и запасные части для устройств ввода и вывода информации,Цвет: алюминиевый
Комплектующие и запасные части для устройств ввода и вывода информации,Цвет: бежевый
Комплектующие и запасные части для устройств ввода и вывода информации,Цвет: антрацит
Комплектующие и запасные части для устройств ввода и вывода информации,Цвет: серебристый
Комплектующие и запасные части для устройств ввода и вывода информации,Материал проводника: медь
Комплектующие и запасные части для устройств ввода и вывода информации,Длина: 10
Комплектующие и запасные части для устройств ввода и вывода информации,Цвет: изделия:черный
Линейки,Материал: пластик
Линейки,Материал: дерево
Линейки,Материал: металл
Линейки,Цвет: коричневый
Линейки,Материал: алюминий
Линейки,Цвет: зеленый
Линейки,Цвет: синий
Линейки,Цвет: серебристый
Линейки,Цвет: стальной
Линейки,Цвет: прозрачный
Линейки,Материал: нержавеющая сталь
Линейки,Цвет: линейки:металлический
Системы акустические,Материал: нч/сч-излучателя:алюминий
Системы акустические,Материал корпуса: mdf
Системы акустические,Ширина: 190
Системы акустические,Цвет: черный
Системы акустические,Материал: сч-излучателя:кевлар
Системы акустические,Высота: 1050
Системы акустические,Материал: сч-излучателя:титан
Системы акустические,Материал: нч/сч-излучателя:бумага
Системы акустические,Высота: 170
Системы акустические,Материал корпуса: пластик
Системы акустические,Материал корпуса: дерево
Системы акустические,Материал корпуса: фанера
Средства для дезодорирования и ароматизации воздуха в помещениях,Объем: 300
Средства для дезодорирования и ароматизации воздуха в помещениях,Цвет: белый
Средства для дезодорирования и ароматизации воздуха в помещениях,Материал: стекло
Средства для дезодорирования и ароматизации воздуха в помещениях,Цвет: прозрачный
Средства для дезодорирования и ароматизации воздуха в помещениях,Материал: пластик
Средства для дезодорирования и ароматизации воздуха в помещениях,Количество в упаковке: 250
Средства для дезодорирования и ароматизации воздуха в помещениях,Материал: бумага
Средства для дезодорирования и ароматизации воздуха в помещениях,Материал: наполнения:древесная труха
Средства для дезодорирования и ароматизации воздуха в помещениях,Высота: 190
Средства для дезодорирования и ароматизации воздуха в помещениях,Цвет: серый металлик
Стенды,Высота: 100
Стенды,Ширина: 100
Стенды,Тип материала: таблички:непрозначный
Стенды,Материал: пвх
Стенды,Материал: пластик
Стенды,Страна: россия
Стенды,Материал: полистирол
Стенды,Цвет: белый
Стенды,Цвет: надписи:черный
Стенды,Материал: акрил
Стенды,Материал: металлопластик
Стенды,Тип печати: изображение наносится непосредственно на самой таб
Степлеры (сшиватели),Цвет: черный
Степлеры (сшиватели),Цвет: синий
Степлеры (сшиватели),Материал корпуса: пластик
Степлеры (сшиватели),Материал: механизма:металл
Степлеры (сшиватели),Цвет: серый
Степлеры (сшиватели),Цвет: голубой
Степлеры (сшиватели),Материал корпуса: металл
Степлеры (сшиватели),Цвет: розовый
Степлеры (сшиватели),Цвет: зеленый
Степлеры (сшиватели),Материал: механизма:пластик
Степлеры (сшиватели),Материал: металл/пластик
Степлеры (сшиватели),Цвет: салатовый
Системы демонстрационные,Страна: россия
Системы демонстрационные,Цвет: серебро
Системы демонстрационные,Цвет: панели
Системы демонстрационные,Материал: панелей:пластик
Системы демонстрационные,Цвет: черный
Системы демонстрационные,Материал: металл
Системы демонстрационные,Цвет: серый
Системы демонстрационные,Материал: алюминий
Системы демонстрационные,Цвет: хром
Системы демонстрационные,Ширина: 300
Системы демонстрационные,Материал: пластик
Системы демонстрационные,Материал рамки: алюминий
Средства для очистки и полировки поверхностей,Страна: россия
Средства для очистки и полировки поверхностей,Цвет: прозрачный
Средства для очистки и полировки поверхностей,Объем: 20
Средства для очистки и полировки поверхностей,Цвет: голубой
Средства для очистки и полировки поверхностей,Объем: 500
Средства для очистки и полировки поверхностей,Объем: 250
Смартфоны,Цвет: черный
Смартфоны,Материал корпуса: пластик
Смартфоны,Цвет: синий
Смартфоны,Цвет: серый
Смартфоны,Процессор: mediatek mt6765
Смартфоны,Цвет: зеленый
Смартфоны,Материал корпуса: металл
Смартфоны,Цвет: голубой
Смартфоны,Цвет: серебристый
Смартфоны,Процессор: qualcomm snapdragon 450
Смартфоны,Цвет: черный/оранжевый
Средства для посудомоечных машин,Количество в упаковке: 100
Средства для посудомоечных машин,Количество в упаковке: 30
Средства для посудомоечных машин,Страна: россия
Средства для посудомоечных машин,Количество в упаковке: 60
Средства для посудомоечных машин,Объем: 250
Средства для посудомоечных машин,Количество в упаковке: 12
Скрепочницы пластиковые,Цвет: черный
Скрепочницы пластиковые,Цвет: скрепок:-
Скрепочницы пластиковые,Цвет: черный/зеленый
Скрепочницы пластиковые,Материал: пластик
Скрепочницы пластиковые,Высота: 40
Скрепочницы пластиковые,Цвет: прозрачный
Скрепочницы пластиковые,Цвет: скрепок:в ассортименте
Скрепочницы пластиковые,Ширина: 60
Скрепочницы пластиковые,Цвет: скрепок:чёрный
Скрепочницы пластиковые,Длина: 68
Обложки для термопереплета,Цвет: прозрачный
Обложки для термопереплета,Материал: пластик
Обложки для термопереплета,Цвет: корешка:алюминиевый
Обложки для термопереплета,Материал: металлический корешок+клей+полимер+пластиковые листы
Видеокамеры,Цвет: черный
Видеокамеры,Цвет: белый
Видеокамеры,Материал: пластик
Видеокамеры,Тип матрицы: cmos
Доски магнитно-маркерные,Материал рамы: алюминий
Доски магнитно-маркерные,Высота: 100
Доски магнитно-маркерные,Цвет: доски:белый
Доски магнитно-маркерные,Цвет: белый
Доски магнитно-маркерные,Цвет: рабочей
Доски магнитно-маркерные,Длина: 150
Доски магнитно-маркерные,Материал: закаленное стекло
Доски магнитно-маркерные,Материал рамы: металл
Доски магнитно-маркерные,Ширина: 150
Доски магнитно-маркерные,Материал: рабочей
Доски магнитно-маркерные,Цвет: изделия:белый
Доски магнитно-маркерные,Материал: каркаса:металл
Принтер 3D FDM,Тип печати: горячая печать
Принтер 3D FDM,Материал корпуса: пластик
Принтер 3D FDM,Материал: наконечника:керамика
Принтер 3D FDM,Длина: 184
Принтер 3D FDM,Ширина: 31
Принтер 3D FDM,Длина: 180
Принтер 3D FDM,Материал: печати:pla или abs
Принтер 3D FDM,Страна: китай
Принтер 3D FDM,Длина: 188
Клавиатура,Цвет: черный
Клавиатура,Материал: пластик
Клавиатура,Материал корпуса: пластик
Клавиатура,Цвет: белый
Клавиатура,Цвет: серебристый
Клавиатура,Цвет: букв:белый
Клавиатура,Цвет: клавиатуры и
Клавиатура,Совместимые модели: ноутбуков:galaxy tab s8 ultra
Клавиатура,Ширина: 438
Клавиатура,Цвет: изделия:чёрный
Фотокамеры цифровые,Тип матрицы: cmos
Фотокамеры цифровые,Цвет: черный
Фотокамеры цифровые,Цвет: чёрный
Фотокамеры цифровые,Тип матрицы: nmos
Комплекты осветительного оборудования и хромакейный фон,Длина: 11
Комплекты осветительного оборудования и хромакейный фон,Материал: бумага
Комплекты осветительного оборудования и хромакейный фон,Страна: сша
Комплекты осветительного оборудования и хромакейный фон,Страна: китай
Комплекты осветительного оборудования и хромакейный фон,Цвет: зеленый
Комплекты осветительного оборудования и хромакейный фон,Материал: матовая мелкозернистая бумага высокой прочности
Комплекты осветительного оборудования и хромакейный фон,Цвет: черный
Комплекты осветительного оборудования и хромакейный фон,Цвет: белый (arctic white)
Комплекты осветительного оборудования и хромакейный фон,Цвет: второго
Комплекты осветительного оборудования и хромакейный фон,Материал: матовый винил
Комплекты осветительного оборудования и хромакейный фон,Ширина: 272
Комплекты осветительного оборудования и хромакейный фон,Материал: пластик
Скобы для степлеров,Материал: скоб:сталь
Скобы для степлеров,Материал: скоб:металл
Скобы для степлеров,Количество в упаковке: 1000
Скобы для степлеров,Цвет: скоб:серебристый
Скобы для степлеров,Цвет: серебристый
Скобы для степлеров,Ширина: 11
